# Savings rate, 1%, 2%, 3%, 4%, 5%, 6%, 7%
1.0000000000, 462.8157851175, 232.5534949030, 155.7969145149, 117.4167886237, 94.3872656381, 79.0330612715, 68.0647676220
1.0990990991, 453.3195337049, 227.7818632398, 152.6002070621, 115.0075809417, 92.4505875181, 77.4114272567, 66.6681857281
1.1981981982, 444.6436328969, 223.4224374829, 149.6796528805, 112.8064969596, 90.6812127894, 75.9298809867, 65.3922500505
1.2972972973, 436.6575495669, 219.4096279620, 146.9913108190, 110.7804203035, 89.0525203530, 74.5661318808, 64.2177635193
1.3963963964, 429.2596229623, 215.6923526610, 144.5009589860, 108.9035595474, 87.5437773800, 73.3028197696, 63.1297752280
1.4954954955, 422.3691313345, 212.2300508961, 142.1814241525, 107.1554355098, 86.1385213698, 72.1261601471, 62.1164136994
1.5945945946, 415.9209091433, 208.9899785936, 140.0107697500, 105.5195156333, 84.8234623756, 71.0250249742, 61.1680952558
1.6936936937, 409.8615899965, 205.9453204604, 137.9710311380, 103.9822608154, 83.5877167846, 69.9903011018, 60.2769714806
1.7927927928, 404.1469195264, 203.0738397703, 136.0473110417, 102.5324436825, 82.4222593023, 69.0144314017, 59.4365340320
1.8918918919, 398.7397921869, 200.3568919033, 134.2271186823, 101.1606505235, 81.3195225744, 68.0910795195, 58.6413259218
1.9909909910, 393.6087898560, 197.7786900296, 132.4998778292, 99.8589105322, 80.2730991472, 67.2148803175, 57.8867265919
2.0900900901, 388.7270757839, 195.3257493454, 130.8565544715, 98.6204152004, 79.2775158985, 66.3812509993, 57.1687892514
2.1891891892, 384.0715449922, 192.9864601702, 129.2893708186, 97.4393027741, 78.3280607683, 65.5862460273, 56.4841159285
2.2882882883, 379.6221629233, 190.7507556339, 127.7915826702, 96.3104904676, 77.4206478823, 64.8264441861, 55.8297602079
2.3873873874, 375.3614444011, 188.6098498675, 126.3573040204, 95.2295422757, 76.5517112905, 64.0988596074, 55.2031506033
2.4864864865, 371.2740386323, 186.5560294768, 124.9813673570, 94.1925636881, 75.7181203317, 63.4008709023, 54.6020295249
2.5855855856, 367.3463953590, 184.5824857920, 123.6592112790, 93.1961169919, 74.9171115483, 62.7301641514, 54.0244041818
2.6846846847, 363.5664938361, 182.6831786857, 122.3867892627, 92.2371525132, 74.1462334136, 62.0846866239, 53.4685067231
2.7837837838, 359.9236209580, 180.8527250873, 121.1604949733, 91.3129523272, 73.4033010827, 61.4626088888, 52.9327616083
2.8828828829, 356.4081882139, 179.0863070069, 119.9771006459, 90.4210838198, 72.6863590619, 60.8622935573, 52.4157586872
2.9819819820, 353.0115795903, 177.3795951106, 118.8337058863, 89.5593611007, 71.9936501899, 60.2822693099, 51.9162308316
3.0810810811, 349.7260243492, 175.7286847947, 117.7276948437, 88.7258127265, 71.3235896922, 59.7212091710, 51.4330352251
3.1801801802, 346.5444899522, 174.1300423824, 116.6567001663, 87.9186545357, 70.6747433436, 59.1779122243, 50.9651376158
3.2792792793, 343.4605914210, 172.5804595799, 115.6185724894, 87.1362666535, 70.0458089830, 58.6512881345, 50.5115989863
3.3783783784, 340.4685141953, 171.0770147143, 114.6113544671, 86.3771739206, 69.4356007814, 58.1403439742, 50.0715642087
3.4774774775, 337.5629481472, 169.6170395776, 113.6332585599, 85.6400291527, 68.8430357842, 57.6441729557, 49.6442523403
3.5765765766, 334.7390308688, 168.1980909299, 112.6826479434, 84.9235987524, 68.2671223455, 57.1619447464, 49.2289482830
3.6756756757, 331.9922987128, 166.8179258988, 111.7580200274, 84.2267502884, 67.7069501432, 56.6928971085, 48.8249955832
3.7747747748, 329.3186443479, 165.4744806519, 110.8579921677, 83.5484417270, 67.1616815225, 56.2363286507, 48.4317901893
3.8738738739, 326.7142798149, 164.1658518332, 109.9812892298, 82.8877120594, 66.6305439622, 55.7915925196, 48.0487750191
3.9729729730, 324.1757042507, 162.8902803456, 109.1267327240, 82.2436731134, 66.1128234915, 55.3580908877, 47.6754352121
4.0720720721, 321.6996755891, 161.6461371308, 108.2932312788, 81.6155023739, 65.6078589191, 54.9352701214, 47.3112939687
4.1711711712, 319.2831856644, 160.4319106600, 107.4797722605, 81.0024366665, 65.1150367558, 54.5226165291, 46.9559088879
4.2702702703, 316.9234382394, 159.2461958931, 106.6854143763, 80.4037665833, 64.6337867332, 54.1196526095, 46.6088687365
4.3693693694, 314.6178295535, 158.0876845047, 105.9092811265, 79.8188315477, 64.1635778370, 53.7259337296, 46.2697905882
4.4684684685, 312.3639310532, 156.9551562067, 105.1505549913, 79.2470154336, 63.7039147846, 53.3410451756, 45.9383172837
4.5675675676, 310.1594740165, 155.8474710224, 104.4084722544, 78.6877426641, 63.2543348900, 52.9645995278, 45.6141151697
4.6666666667, 308.0023358284, 154.7635623901, 103.6823183834, 78.1404747299, 62.8144052641, 52.5962343163, 45.2968720802
4.7657657658, 305.8905276977, 153.7024309915, 102.9714238950, 77.6047070727, 62.3837203104, 52.2356099237, 44.9862955306
4.8648648649, 303.8221836392, 152.6631392151, 102.2751606455, 77.0799662904, 61.9618994772, 51.8824077038, 44.6821110964
4.9639639640, 301.7955505662, 151.6448061782, 101.5929384962, 76.5658076234, 61.5485852378, 51.5363282895, 44.3840609573
5.0630630631, 299.8089793624, 150.6466032405, 100.9242023080, 76.0618126893, 61.1434412692, 51.1970900683, 44.0919025830
5.1621621622, 297.8609168199, 149.6677499534, 100.2684292268, 75.5675874379, 60.7461508080, 50.8644278056, 43.8054075486
